Date,Price
20/05/1987,18.63
02/06/1987,18.68
07/07/1987,19.5
18/08/1987,18.75
09/09/1987,17.9
07/10/1987,18.58
04/11/1987,17.93
08/12/1987,17.58
04/01/1988,17.95
03/02/1988,16.15
09/03/1988,13.98
11/04/1988,16.2
04/05/1988,16.15
08/06/1988,16.28
08/07/1988,15.05
10/08/1988,15.1
06/09/1988,13.35
05/10/1988,11.2
04/11/1988,12.75
12/12/1988,15.2
05/01/1989,16.58
06/02/1989,16.5
07/03/1989,17.55
04/04/1989,19.9
02/05/1989,19.15
12/06/1989,17.18
04/07/1989,18.6
03/08/1989,16.4
05/09/1989,17.45
04/10/1989,18.78
07/11/1989,18.9
05/12/1989,19.18
03/01/1990,22.65
07/02/1990,20.15
02/03/1990,19.18
06/04/1990,17.1
02/05/1990,16.58
01/06/1990,15.43
10/07/1990,15.58
02/08/1990,22.25
06/09/1990,32.15
04/10/1990,37.2
05/11/1990,33.8
04/12/1990,31.5
03/01/1991,25.05
01/02/1991,20.8
05/03/1991,20.05
02/04/1991,17.63
08/05/1991,19.8
03/06/1991,19
04/07/1991,18.48
14/08/1991,19.23
03/09/1991,20.55
02/10/1991,21.3
01/11/1991,22.53
09/12/1991,18.25
02/01/1992,18.45
05/02/1992,18.48
06/03/1992,17.3
01/04/1992,18.38
06/05/1992,19.68
02/06/1992,20.85
07/07/1992,19.8
03/08/1992,20.33
04/09/1992,20.03
01/10/1992,20.28
03/11/1992,19.35
10/12/1992,18.28
05/01/1993,17.48
01/02/1993,18.55
05/03/1993,19.6
01/04/1993,18.98
05/05/1993,18.85
01/06/1993,18.48
07/07/1993,16.9
17/08/1993,16.88
08/09/1993,15.65
06/10/1993,16.98
03/11/1993,15.83
24/12/1993,13.38
04/01/1994,13.43
03/02/1994,15.48
04/03/1994,13.43
05/04/1994,14.33
11/05/1994,16.1
01/06/1994,16.4
01/07/1994,17.65
08/08/1994,17.93
09/09/1994,15.93
05/10/1994,16.5
03/11/1994,17.75
21/12/1994,15.65
04/01/1995,15.93
01/02/1995,17.05
06/03/1995,16.75
04/04/1995,18.03
22/05/1995,18.38
06/06/1995,17.95
03/07/1995,16.35
03/08/1995,15.99
01/09/1995,16.25
10/10/1995,15.95
03/11/1995,16.88
05/12/1995,17.53
02/01/1996,18.95
01/02/1996,16.78
04/03/1996,18.4
04/04/1996,20.85
03/05/1996,19.38
05/06/1996,18.2
02/07/1996,19.43
06/08/1996,19.45
10/09/1996,22.68
03/10/1996,23.63
06/11/1996,21.85
04/12/1996,24.21
03/01/1997,24.19
03/02/1997,22.91
06/03/1997,19.55
02/04/1997,17.97
01/05/1997,18.24
05/06/1997,17.96
09/07/1997,18.25
04/08/1997,19.64
10/09/1997,18.08
02/10/1997,20.08
04/11/1997,19.1
08/12/1997,17.87
05/01/1998,15.29
03/02/1998,14.87
09/03/1998,12.24
02/04/1998,13.38
06/05/1998,13.91
03/06/1998,13.23
07/07/1998,11.66
06/08/1998,12.08
04/09/1998,12.96
06/10/1998,13.98
02/11/1998,12.43
02/12/1998,9.71
